7
76	76	144
0	14	1
0	15	1
0	16	1
0	17	1
1	14	1
1	15	1
1	18	1
2	19	1
2	20	1
2	21	1
2	22	1
3	19	1
3	20	1
3	23	1
4	24	1
4	25	1
4	26	1
4	27	1
5	24	1
5	25	1
5	28	1
6	29	1
6	30	1
6	31	1
6	32	1
7	29	1
7	30	1
7	33	1
8	50	1
8	51	1
8	52	1
8	54	1
8	55	1
8	56	1
8	58	1
8	59	1
8	61	1
9	46	1
9	49	1
9	54	1
9	58	1
9	61	1
10	17	1
10	22	1
10	27	1
10	32	1
11	16	1
11	21	1
11	26	1
11	31	1
12	15	1
12	20	1
12	25	1
12	30	1
13	14	1
13	19	1
13	24	1
13	29	1
14	34	1
15	34	1
16	35	1
17	35	1
18	35	1
19	36	1
20	36	1
21	37	1
22	37	1
23	37	1
24	38	1
25	38	1
26	39	1
27	39	1
28	39	1
29	40	1
30	40	1
31	41	1
32	41	1
33	41	1
34	43	1
34	44	1
34	45	1
34	46	1
34	47	1
34	64	1
35	42	1
35	48	1
36	45	1
36	46	1
36	49	1
36	50	1
36	51	1
36	66	1
37	43	1
37	52	1
37	53	1
38	46	1
38	47	1
38	49	1
38	50	1
38	54	1
38	55	1
38	68	1
39	44	1
39	56	1
39	57	1
40	47	1
40	49	1
40	58	1
40	70	1
41	45	1
41	50	1
41	59	1
41	60	1
42	62	1
43	62	1
44	62	1
45	62	1
46	63	1
48	64	1
49	65	1
50	65	1
51	65	1
52	65	1
53	66	1
54	67	1
55	67	1
56	67	1
57	68	1
58	69	1
59	69	1
60	70	1
61	75	1
62	63	1
64	71	1
65	71	1
66	72	1
67	72	1
68	74	1
69	74	1
70	75	1
71	73	1
72	73	1
74	73	1
75	73	1

